TID	SDate	TName	SStationID	AStationID	STime	ATime
1	2019/12/2	C5001	1599	1621	2019/12/2 7:09	2019/12/2 8:46
2	2019/12/3	C5001               	1599	1621	2019/12/3 7:09	2019/12/3 8:46
3	2019/12/4	C5001               	1599	1621	2019/12/4 7:09	2019/12/4 8:46
4	2019/12/5	C5001               	1599	1621	2019/12/5 7:09	2019/12/5 8:46
5	2019/12/6	C5001               	1599	1621	2019/12/6 7:09	2019/12/6 8:46
6	2019/12/7	C5001               	1599	1621	2019/12/7 7:09	2019/12/7 8:46
7	2019/12/8	C5001               	1599	1621	2019/12/8 7:09	2019/12/8 8:46
8	2019/12/9	C5001               	1599	1621	2019/12/9 7:09	2019/12/9 8:46
9	2019/12/10	C5001               	1599	1621	2019/12/10 7:09	2019/12/10 8:46
10	2019/12/11	C5001               	1599	1621	2019/12/11 7:09	2019/12/11 8:46
11	2019/12/12	C5001               	1599	1621	2019/12/12 7:09	2019/12/12 8:46
12	2019/12/13	C5001               	1599	1621	2019/12/13 7:09	2019/12/13 8:46
13	2019/12/14	C5001               	1599	1621	2019/12/14 7:09	2019/12/14 8:46
14	2019/12/15	C5001               	1599	1621	2019/12/15 7:09	2019/12/15 8:46
15	2019/12/16	C5001               	1599	1621	2019/12/16 7:09	2019/12/16 8:46
16	2019/12/17	C5001               	1599	1621	2019/12/17 7:09	2019/12/17 8:46
17	2019/12/18	C5001               	1599	1621	2019/12/18 7:09	2019/12/18 8:46
18	2019/12/19	C5001               	1599	1621	2019/12/19 7:09	2019/12/19 8:46
19	2019/12/20	C5001               	1599	1621	2019/12/20 7:09	2019/12/20 8:46
20	2019/12/21	C5001               	1599	1621	2019/12/21 7:09	2019/12/21 8:46
21	2019/12/22	C5001               	1599	1621	2019/12/22 7:09	2019/12/22 8:46
22	2019/12/23	C5001               	1599	1621	2019/12/23 7:09	2019/12/23 8:46
23	2019/12/24	C5001               	1599	1621	2019/12/24 7:09	2019/12/24 8:46
24	2019/12/25	C5001               	1599	1621	2019/12/25 7:09	2019/12/25 8:46
25	2019/12/26	C5001               	1599	1621	2019/12/26 7:09	2019/12/26 8:46
26	2019/12/27	C5001               	1599	1621	2019/12/27 7:09	2019/12/27 8:46
27	2019/12/28	C5001               	1599	1621	2019/12/28 7:09	2019/12/28 8:46
28	2019/12/29	C5001               	1599	1621	2019/12/29 7:09	2019/12/29 8:46
29	2019/12/30	C5001               	1599	1621	2019/12/30 7:09	2019/12/30 8:46
